"id";"submitdate";"lastpage";"startlanguage";"seed";"token";"Q1";"Q2";"Q3";"Q4";"Q5";"Q6";"Q7";"Q8";"Q9";"Q10";"Q11";"Q12"
"5";"1980-01-01 00:00:00";"2";"en";"2136964923";"Crfa25b5ft3jpGt";"Agree Strongly";"Agree Slightly";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"11";"1980-01-01 00:00:00";"2";"en";"518387844";"VQVoXbOsgNTP2Qi";"Agree Strongly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Disagree Moderately";"Agree Moderately";"Agree Moderately";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"13";"1980-01-01 00:00:00";"2";"en";"1837024523";"nxJJ5zIIrRwDFwX";"Agree Strongly";"Disagree Strongly";"Agree Slightly";"Agree Moderately";"Agree Strongly";"Agree Strongly";"Disagree Strongly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"14";"1980-01-01 00:00:00";"2";"en";"1474373180";"FSUH0v6XaYDosSx";"Agree Moderately";"Agree Slightly";"Disagree Moderately";"Disagree Moderately";"Disagree Moderately";"Prefer Not To Answer";"Disagree Moderately";"No";"Medium Experience";"Yes";"Male";"Associate Professor"
"15";"1980-01-01 00:00:00";"2";"en";"1907297397";"yk2IMcY8IWgEMqU";"Agree Strongly";"Agree Moderately";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Prefer Not To Answer";"Yes";"High Experience";"Yes";"Male";"Assistant Professor"
"21";"1980-01-01 00:00:00";"2";"en";"244562911";"t9nMa5H8JfRmVHq";"Agree Strongly";"Prefer Not To Answer";"Agree Strongly";"Agree Moderately";"Agree Strongly";"Agree Moderately";"Agree Slightly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"22";"1980-01-01 00:00:00";"2";"en";"1721674570";"xNFlaOlYQgEto5m";"Agree Moderately";"Agree Slightly";"Agree Moderately";"Agree Slightly";"Agree Slightly";"Disagree Slightly";"Agree Slightly";"Yes";"High Experience";"Yes";"Female";"Full Professor"
"23";"1980-01-01 00:00:00";"2";"en";"706796889";"zzyIpJuBaeziU1j";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Yes";"Medium Experience";"Yes";"Male";"Full Professor"
"24";"1980-01-01 00:00:00";"2";"en";"1827185937";"N3wDmlETEoFQwPi";"Agree Moderately";"Agree Strongly";"Disagree Slightly";"Agree Slightly";"Disagree Slightly";"Prefer Not To Answer";"Agree Slightly";"Yes";"Medium Experience";"Yes";"Male";"Research Associate"
"25";"1980-01-01 00:00:00";"2";"en";"763746457";"tJKhUzCbPythTyZ";"Agree Strongly";"Agree Strongly";"Agree Moderately";"Prefer Not To Answer";"Agree Strongly";"Prefer Not To Answer";"Agree Slightly";"No";"High Experience";"No";"Prefer Not To Answer";"Prefer Not To Answer"
"27";"1980-01-01 00:00:00";"2";"en";"1278823256";"xqdbVzG1PMx1KRh";"Agree Slightly";"Prefer Not To Answer";"Disagree Strongly";"Disagree Moderately";"Disagree Strongly";"Agree Slightly";"Agree Moderately";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"28";"1980-01-01 00:00:00";"2";"en";"1064011177";"TqEjNlJSFkmEMaj";"Agree Strongly";"Agree Moderately";"Agree Slightly";"Agree Slightly";"Disagree Slightly";"Disagree Moderately";"Agree Slightly";"Yes";"High Experience";"Yes";"Male";"Associate Professor"
"29";"1980-01-01 00:00:00";"2";"en";"575893358";"UKu8azQQlxE3uxk";"Agree Moderately";"Disagree Moderately";"Disagree Moderately";"Agree Moderately";"Disagree Moderately";"Disagree Slightly";"Disagree Slightly";"Yes";"High Experience";"Yes";"Female";"Full Professor"
"31";"1980-01-01 00:00:00";"2";"en";"1805481127";"WrLNxIezfO3RNis";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Prefer Not To Answer";"Yes";"High Experience";"Yes";"Male";"Associate Professor"
"33";"1980-01-01 00:00:00";"2";"en";"1156198253";"U6YnjzU2WPnzwoA";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Disagree Slightly";"Agree Moderately";"No";"Medium Experience";"No";"Male";"PhD. Student"
"34";"1980-01-01 00:00:00";"2";"en";"1049863914";"Lc1YR1uXtzuF003";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Disagree Slightly";"Disagree Strongly";"Yes";"Medium Experience";"Yes";"Male";"Full Professor"
"35";"1980-01-01 00:00:00";"2";"en";"133428868";"4NMX0EMPvZD2wsw";"Agree Slightly";"Agree Moderately";"Agree Strongly";"Agree Slightly";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Yes";"High Experience";"Yes";"Male";"Associate Professor"
"36";"1980-01-01 00:00:00";"2";"en";"1469273092";"qv3PK0kQ5LrCOHo";"Agree Strongly";"Agree Strongly";"Agree Moderately";"Prefer Not To Answer";"Agree Strongly";"Prefer Not To Answer";"Disagree Moderately";"Yes";"Low Experience";"Yes";"Male";"Associate Professor"
